id;chapter;index;name;aupadeshik;ganam;padam;settva;karma;kaumudi_dhatu_number;meaning;english_meaning;hindi_meaning
1010001;1;1;भू;भू;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;1;सत्तायाम्;to exist, to become, to be, to happen;होना
1010002;1;2;एध्;एधँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;2;वृद्धौ;to grow, to increase, to prosper, to extend, to swell, to rise;बढना
1010003;1;3;स्पर्ध्;स्पर्धँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;3;सङ्घर्षे;to challenge, to compete, to conflict, to rival, to struggle;संघर्ष करना
1010004;1;4;गाध्;गाधृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;4;प्रतिष्ठालिप्सयोर्ग्रन्थे च;to praise oneself, to desire, to tie together, to string together, to seek, to stay together, to stand firmly, to compile;यश प्राप्त करना, लेने की अभिलाषा करना
1010005;1;5;बाध्;बाधृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;5;लोडने, रोटने;to oppress, to torment, to harass, to destroy, to infect, to torture;रोकना , बाधा देना, दुःख देना
1010006;1;6;नाध्;नाधृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;7;याच्ञोपतापैश्वर्याशीष्षु;to seek help, to beg, to irritate, to bless, to master;याचना करना, रोगी होना, श्रीमान् होना, आशीर्वाद देना
1010007;1;7;नाथ्;नाथृँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;6;याच्ञोपतापैश्वर्याशीष्षु;to seek help, to beg, to irritate, to bless, to master;याचना करना, रोगी होना, श्रीमान् होना, आशीर्वाद देना
1010008;1;8;दध्;दधँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;8;धारणे;to hold, to possess;धारण करना, पालन करना, देना, अर्पण करना
1010009;1;9;स्कुन्द्;स्कुदिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;9;आप्रवणे;to jump, to raise, to lift up;चलना, कूदना, ऊपर उठाना
1010010;1;10;श्विन्द्;श्विदिँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;10;श्वैत्ये;to be white;सफेद होना, शुभ्र होना
1010011;1;11;वन्द्;वदिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;11;अभिवादनस्तुत्योः;to worship, to show honor, to do homage, to show respect, to venerate, to bow, to salute, to praise, to adore, to greet;सत्कारपूर्वक कुशल प्रश्न पूछना, नमस्कार करना, स्तुति करना
1010012;1;12;भन्द्;भदिँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;12;कल्याणे सुखे च;to be prosperous, to be glad, to be happy;शुभ कर्म करना, सुखी होना
1010013;1;13;मन्द्;मदिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;13;स्तुतिमोदमदस्वप्नकान्तिगतिषु;to praise, to be glad, to be proud, to sleep, to shine, to move slowly, to intoxicate;स्तुति करना, तुष्ट करना, आनन्द करना, उन्मत्त होना, सोना, चाहना, चमकना, प्रकाशित होना
1010014;1;14;स्पन्द्;स्पदिँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;14;किञ्चिच्चलने;to vibrate, to shake, to move a little, to palpitate, to quake, to tremble, to kick;धीरे धीरे चलना, काँपना, थरथराना
1010015;1;15;क्लिन्द्;क्लिदिँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;15;परिदेवने;to lament;रोना, शोक करना
1010016;1;16;मुद्;मुदँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;16;हर्षे;to be glad,to be happy, to rejoice, to delight;आनन्दित होना, प्रसन्न होना
1010017;1;17;दद्;ददँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;17;दाने;to give,to offer,to present;दान करना, देना, त्याग करना
1010018;1;18;स्वद्;ष्वदँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;18;आस्वादने;to taste, to eat,to please the tongue, to have delight;स्वाद लेना, चखना
1010019;1;19;स्वर्द्;स्वर्दँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;19;आस्वादने; to taste,to eat,to please the tongue, to have delight;स्वाद लेना, चखना
1010020;1;20;ऊर्द्;उर्दँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;20;माने क्रीडायां आस्वादने च;to measure,to leap, to jump, to taste,to grant,to be cheerful;नापना, गिनना, क्रीडा करना, खेलना
1010021;1;21;कूर्द्;कुर्दँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;21;क्रीडायाम् एव;to leap, to jump;खेलना
1010022;1;22;खूर्द्;खुर्दँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;22;क्रीडायाम् एव;to leap, to jump;खेलना
1010023;1;23;गूर्द्;गुर्दँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;23;क्रीडायाम् एव;to leap, to jump;खेलना
1010024;1;24;गुद्;गुदँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;24;क्रीडायाम् एव;to leap, to jump;खेलना
1010025;1;25;सूद्;षूदँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;25;क्षरणे;to trickle, to leak, to ooze out, to distill, to emerge drop by drop;टपकना, झरना, मार डालना, मारने की कोशिश करना
1010026;1;26;ह्राद्;ह्रादँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;26;अव्यक्ते शब्दे;to make a sound;अस्पष्ट शब्द करना
1010027;1;27;ह्लाद्;ह्लादीँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;27;अव्यक्ते शब्दे सुखे च;to be  glad, to be pleasant, to make a sound;सुखी होना, प्रयत्न करना, अस्पष्ट शब्द करना
1010028;1;28;स्वाद्;स्वादँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;28;आस्वादने;to taste,to please the tongue, to have delight;स्वाद लेना, चखना
1010029;1;29;पर्द्;पर्दँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;29;कुत्सिते शब्दे;to fart;वायु त्याग करना
1010030;1;30;यत्;यतीँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;30;प्रयत्ने;to try, to strive, to make effort, to attempt;प्रयत्न करना, उद्योग करना
1010031;1;31;युत्;युतृँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;31;भासने;to shine;चमकना, प्रकाशित होना
1010032;1;32;जुत्;जुतृँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;32;भासने;to shine;चमकना, प्रकाशित होना
1010033;1;33;विथ्;विथृँ;भ्वादि;आत्मनेपदी;सेट्;द्विकर्मकः;33;याचने;to beg,to ask;मांगना, याचना करना
1010034;1;34;वेथ्;वेथृँ;भ्वादि;आत्मनेपदी;सेट्;द्विकर्मकः;34;याचने;to beg,to ask;मांगना, याचना करना
1010035;1;35;श्रन्थ्;श्रथिँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;35;शैथिल्ये;to be tired, to be fatigued;शिथिल करना, ढीला करना, शिथिल होना, ढीला होना
1010036;1;36;ग्रन्थ्;ग्रथिँ;भ्वादि;आत्मनेपदी;सेट्;अकर्मकः;36;कौटिल्ये;to be crooked, to be wicked;वक्र होना, टेढा होना, दुष्ट होना, गांठ बांधना, गूथना
1010037;1;37;कत्थ्;कत्थँ;भ्वादि;आत्मनेपदी;सेट्;सकर्मकः;37;श्लाघायाम्;to praise,to boast,to flatter;प्रशंसा करना, स्तुति करना, झूटी बढाई करना
1010038;1;38;अत्;अतँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;38;सातत्यगमने;to run, to walk with speed, to move continuously;जाना, सदैव जाते रहना
1010039;1;39;चित्;चितीँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;39;संज्ञाने;to perceive,to think,to recover consciousness,to observe, to see,to regain consciousness;अच्छी तरह विचार करना, चिंतन करना, होश में आना
1010040;1;40;च्युत्;च्युतिँर्;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;40;आसेचने;to sprinkle, to flow,to trickle, to fall, to deviate;सींचना, भीगोना, बहना
1010041;1;41;श्चुत्;श्चुतिँर्;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;41P;आसेचने;to flow,to trickle, to fall, to deviate;
1010042;1;42;श्च्युत्;श्च्युतिँर्;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;41;क्षरणे;to flow,to trickle, to fall, to deviate;टपकना, झरना, सींचना, प्रोक्षण करना, छिडकना
1010043;1;43;ज्युत्;ज्युतृँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;;भासने;to illumine, to shine;
1010044;1;44;मन्थ्;मथिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;46;हिंसासङ्क्लेशनयोः;to strike,to destroy, to kill, to crush, to tear off, to injure, to cause pain;मार डालना, दुःख देना, दुःख भोगना, पीडित होना
1010045;1;45;कुन्थ्;कुथिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;43;हिंसासङ्क्लेशनयोः;to strike,to destroy, to kill, to crush, to tear off, to injure, to cause pain;मार डालना, दुःख देना, दुःख भोगना, पीडित होना
1010046;1;46;पुन्थ्;पुथिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;44;हिंसासङ्क्लेशनयोः;to strike,to destroy, to kill, to crush, to tear off, to injure, to cause pain;मार डालना, दुःख देना, दुःख भोगना, पीडित होना
1010047;1;47;लुन्थ्;लुथिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;45;हिंसासङ्क्लेशनयोः;to strike,to destroy, to kill, to crush, to tear off, to injure, to cause pain;मार डालना, दुःख देना, दुःख भोगना, पीडित होना
1010048;1;48;मन्थ्;मन्थँ;भ्वादि;परस्मैपदी;सेट्;द्विकर्मकः;42;विलोडने;to churn, to shake, to stir, to strike,to agitate, to splash;बिलोना, मथना, पीड़ा देना
1010049;1;49;सिध्;षिधँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;47;गत्याम्;to regulate, to punish, to hinder, to instruct, to scare away, to drive off, to restrain;जाना
1010050;1;50;सिध्;षिधूँ;भ्वादि;परस्मैपदी;वेट्;सकर्मकः;48;शास्त्रे (शासने) माङ्गल्ये च;to rule, to be auspicious;आज्ञा करना, शासन करना, मङ्गल कर्म करना
1010051;1;51;खाद्;खादृँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;49;भक्षणे;to eat,to consume;खाना
1010052;1;52;खद्;खदँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;50;स्थैर्ये हिंसायां भक्षणे च;to be firm,to be steady, to hurt, to kill, to eat, to consume, to bite;स्थिर रहना,मार डालना, सताना, खाना
1010053;1;53;बद्;बदँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;51;स्थैर्ये;to be firm, to be steady;स्थिर रहना
1010054;1;54;गद्;गदँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;52;व्यक्तायां वाचि;to speak, to tell, to explain, to talk;स्पष्ट बोलना
1010055;1;55;रद्;रदँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;53;विलेखने;to cut, to split, to scratch, to divide;विदारण करना, चीरना, खोदना
1010056;1;56;नद्;णदँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;54;अव्यक्ते शब्दे;to thunder, to roar, to make a loud sound;अस्पष्ट शब्द करना, आवाज करना
1010057;1;57;अर्द्;अर्दँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;55;गतौ याचने च;to go,to beg, to request;जाना,मांगना, याचना करना,मारना
1010058;1;58;नर्द्;नर्दँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;56;शब्दे;to make a sound, to shout;शब्द करना
1010059;1;59;गर्द्;गर्दँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;57;शब्दे;to make a sound, to shout;शब्द करना
1010060;1;60;तर्द्;तर्दँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;58;हिंसायाम्;to injure,to hurt,to kill, to destroy;मारना, हिंसा करना
1010061;1;61;कर्द्;कर्दँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;59;कुत्सिते शब्दे;to rumble,to caw;कौवे के समान शब्द करना, पेट गुड़गुड़ाना, अन्त्रकुजन होना
1010062;1;62;खर्द्;खर्दँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;60;दन्दशूके (सर्पदंशे);to bite,to sting;चबाना, दांतों से काटना
1010063;1;63;अन्त्;अतिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;61;बन्धने;to bind;बांधना, पाना, हासिल करना
1010064;1;64;अन्द्;अदिँ;भ्वादि;परस्मैपदी;सेट्;सकर्मकः;62;बन्धने;to bind;बांधना, पाना, हासिल करना
1010065;1;65;इन्द्;इदिँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;63;परमैश्वर्ये;to be powerful, to be gifted, to have divine power;अमानवीय पराक्रम होना,ईश्वरी शक्ति होना, ऐश्वर्य युक्त होना
1010066;1;66;बिन्द्;बिदिँ;भ्वादि;परस्मैपदी;सेट्;अकर्मकः;64;अवयवे;to split,to cleave,to divide;टुकड़े होना, विभक्त होना, अलग hona
